TR_Onset,TR_Offset,onset,duration,parametric_modulation
1,2,0,4,0
3,4,4,4,0
5,6,8,4,0
7,8,12,4,0
9,10,16,4,0
11,12,20,4,0
13,14,24,4,0
15,16,28,4,0
17,18,32,4,0
19,20,36,4,0
21,22,40,4,0
23,24,44,4,0
25,26,48,4,0
27,28,52,4,0
29,30,56,4,0
31,32,60,4,0
33,34,64,4,0
35,36,68,4,0
37,38,72,4,0
39,40,76,4,0
41,42,80,4,0
43,44,84,4,0
45,46,88,4,0
47,48,92,4,0
49,50,96,4,0
51,52,100,4,0
53,54,104,4,0
55,56,108,4,0
57,58,112,4,0
59,60,116,4,0
61,62,120,4,0
63,64,124,4,0
65,66,128,4,0
67,68,132,4,0
69,70,136,4,0
71,72,140,4,0
73,74,144,4,0
75,76,148,4,0
77,78,152,4,0
79,80,156,4,0
81,82,160,4,0
83,84,164,4,0
85,86,168,4,0
87,88,172,4,0
89,90,176,4,0
91,92,180,4,0
93,94,184,4,1
95,96,188,4,1
97,98,192,4,1
99,100,196,4,1
101,102,200,4,1
103,104,204,4,1
105,106,208,4,1
107,108,212,4,1
109,110,216,4,1
111,112,220,4,1
113,114,224,4,1
115,116,228,4,1
117,118,232,4,1
119,120,236,4,1
121,122,240,4,1
123,124,244,4,1
125,126,248,4,1
127,128,252,4,1
129,130,256,4,1
131,132,260,4,1
133,134,264,4,1
135,136,268,4,1
137,138,272,4,1
139,140,276,4,1
141,142,280,4,0
143,144,284,4,0
145,146,288,4,0
147,148,292,4,0
149,150,296,4,0
151,152,300,4,0
153,154,304,4,0
155,156,308,4,0
157,158,312,4,0
159,160,316,4,0
161,162,320,4,0
163,164,324,4,0
165,166,328,4,0
167,168,332,4,0
169,170,336,4,0
171,172,340,4,0
173,174,344,4,0
175,176,348,4,0
177,178,352,4,0
179,180,356,4,0
181,182,360,4,0
183,184,364,4,0
185,186,368,4,0
187,188,372,4,0
189,190,376,4,0
191,192,380,4,0
193,194,384,4,0
195,196,388,4,0
197,198,392,4,0
199,200,396,4,0
201,202,400,4,0
203,204,404,4,0
205,206,408,4,0
207,208,412,4,0
209,210,416,4,0
211,212,420,4,0
213,214,424,4,0
215,216,428,4,0
217,218,432,4,0
219,220,436,4,1
221,222,440,4,1
223,224,444,4,1
225,226,448,4,1
227,228,452,4,1
229,230,456,4,1
231,232,460,4,1
233,234,464,4,1
235,236,468,4,1
237,238,472,4,1
239,240,476,4,1
241,242,480,4,1
243,244,484,4,1
245,246,488,4,1
247,248,492,4,1
249,250,496,4,1
251,252,500,4,1
253,254,504,4,1
255,256,508,4,1
257,258,512,4,1
259,260,516,4,1
261,262,520,4,1
263,264,524,4,1
265,266,528,4,1
267,268,532,4,1
269,270,536,4,1
271,272,540,4,1
273,274,544,4,1
275,276,548,4,1
277,278,552,4,1
279,280,556,4,1
281,282,560,4,1
283,284,564,4,1
285,286,568,4,1
287,288,572,4,1
289,290,576,4,1
291,292,580,4,1
293,294,584,4,1
295,296,588,4,1
297,298,592,4,1
299,300,596,4,1
301,302,600,4,1
303,304,604,4,1
305,306,608,4,1
307,308,612,4,1
309,310,616,4,1
311,312,620,4,1
313,314,624,4,1
315,316,628,4,1
317,318,632,4,1
319,320,636,4,1
321,322,640,4,1
323,324,644,4,1
325,326,648,4,1
327,328,652,4,1
329,330,656,4,1
331,332,660,4,1
333,334,664,4,1
335,336,668,4,1
337,338,672,4,1
339,340,676,4,1
341,342,680,4,1
343,344,684,4,1
345,346,688,4,1
347,348,692,4,1
349,350,696,4,1
351,352,700,4,1
353,354,704,4,1
355,356,708,4,1
357,358,712,4,1
359,360,716,4,1
361,362,720,4,1
363,364,724,4,1
365,366,728,4,1
367,368,732,4,1
369,370,736,4,1
371,372,740,4,1
373,374,744,4,1
375,376,748,4,1
377,378,752,4,1
379,380,756,4,1
381,382,760,4,1
383,384,764,4,1
385,386,768,4,1
387,388,772,4,1
389,390,776,4,1
391,392,780,4,1
393,394,784,4,1
395,396,788,4,1
397,398,792,4,1
399,400,796,4,1
401,402,800,4,1
403,404,804,4,1
405,406,808,4,1
407,408,812,4,1
409,410,816,4,1
411,412,820,4,1
413,414,824,4,1
415,416,828,4,1
417,418,832,4,1
419,420,836,4,1
421,422,840,4,1
423,424,844,4,1
425,426,848,4,1
427,428,852,4,1
429,430,856,4,1
431,432,860,4,1
433,434,864,4,1
435,436,868,4,1
437,438,872,4,1
439,440,876,4,0
441,442,880,4,0
443,444,884,4,0
445,446,888,4,0
447,448,892,4,0
449,450,896,4,0
451,452,900,4,0
453,454,904,4,0
455,456,908,4,0
457,458,912,4,0
459,460,916,4,0
461,462,920,4,0
463,464,924,4,0
465,466,928,4,0
467,468,932,4,0
469,470,936,4,0
471,472,940,4,0
473,474,944,4,0
475,476,948,4,0
477,478,952,4,0
479,480,956,4,0
481,482,960,4,0
483,484,964,4,0
485,486,968,4,0
487,488,972,4,0
489,490,976,4,0
491,492,980,4,0
493,494,984,4,0
495,496,988,4,0
497,498,992,4,0
499,500,996,4,0
501,502,1000,4,0
503,504,1004,4,0
505,506,1008,4,0
507,508,1012,4,0
509,510,1016,4,0
511,512,1020,4,0
513,514,1024,4,0
515,516,1028,4,0
517,518,1032,4,0
519,520,1036,4,0
521,522,1040,4,0
523,524,1044,4,0
525,526,1048,4,0
527,528,1052,4,0
529,530,1056,4,0
531,532,1060,4,0
533,534,1064,4,0
535,536,1068,4,0
537,538,1072,4,0
539,540,1076,4,0
541,542,1080,4,1
543,544,1084,4,1
545,546,1088,4,1
547,548,1092,4,1
549,550,1096,4,1
551,552,1100,4,1
553,554,1104,4,1
555,556,1108,4,1
557,558,1112,4,1
559,560,1116,4,1
561,562,1120,4,1
563,564,1124,4,1
565,566,1128,4,1
567,568,1132,4,1
569,570,1136,4,1
571,572,1140,4,1
573,574,1144,4,1
575,576,1148,4,1
577,578,1152,4,1
579,580,1156,4,1
581,582,1160,4,1
583,584,1164,4,1
585,586,1168,4,1
587,588,1172,4,1
589,590,1176,4,1
591,592,1180,4,1
593,594,1184,4,1
595,596,1188,4,1
597,598,1192,4,1
599,600,1196,4,1
601,602,1200,4,1
603,604,1204,4,1
605,606,1208,4,1
607,608,1212,4,1
609,610,1216,4,1
611,612,1220,4,1
613,614,1224,4,1
615,616,1228,4,1
617,618,1232,4,1
619,620,1236,4,1
621,622,1240,4,0
623,624,1244,4,0
625,626,1248,4,1
627,628,1252,4,1
629,630,1256,4,1
631,632,1260,4,1
633,634,1264,4,1
635,636,1268,4,1
637,638,1272,4,1
639,640,1276,4,1
641,642,1280,4,1
643,644,1284,4,1
645,646,1288,4,1
647,648,1292,4,1
649,650,1296,4,1
651,652,1300,4,1
653,654,1304,4,1
655,656,1308,4,1
657,658,1312,4,1
659,660,1316,4,1
661,662,1320,4,1
663,664,1324,4,1
665,666,1328,4,1
667,668,1332,4,1
669,670,1336,4,1
